mq2,temp,flame,label
671,53.691617861806606,0,1
944,68.24968282895107,1,2
315,54.78305495948773,0,1
84,31.458717836432115,0,0
45,26.025085164367248,0,0
79,41.58001071004996,0,0
904,77.52897654904612,1,2
200,20.663830123151946,0,0
884,64.09814001049142,1,2
441,55.53784833202876,0,1
577,59.95792076545432,0,1
873,74.63174054932486,1,2
483,41.141793696097295,0,1
252,32.36297629181855,0,0
321,49.89695681878344,0,1
611,72.61982614145732,0,1
536,46.706538658272855,0,1
9,33.86065877211187,0,0
463,49.15150506476944,0,1
1109,66.84176030147457,1,2
1125,106.61479304159641,1,2
222,24.707332077993744,0,0
814,51.18464269929437,0,1
292,35.22969180313515,0,0
109,27.741121663349425,0,0
124,36.63386057052685,0,0
1115,85.83963442558724,1,2
1138,100.00452829953905,1,2
345,24.17062978500675,0,0
231,28.995532615896227,0,0
1167,66.23721262214603,1,2
650,50.65221580718632,0,1
167,40.702483572057204,0,0
1125,80.7472142520281,1,2
15,19.458937023771533,0,0
262,19.03842876888914,0,0
836,45.26089401723103,0,1
586,61.84782224806092,0,1
977,75.08904822518642,1,2
353,65.59302289296879,0,1
918,66.3080230664918,1,2
1178,59.217859325711025,1,2
303,62.468272215713995,0,1
135,27.579224194353046,0,0
268,25.334742217180278,0,0
374,42.696774988509965,0,1
1145,64.32449251792897,1,2
494,70.68634496562245,0,1
541,44.630234072815156,0,1
261,39.90929873395669,0,0
791,44.41274447099332,0,1
1018,86.2072503887387,1,2
875,74.61886895170562,1,2
920,89.25133330327748,1,2
866,82.38352143097563,1,2
457,38.12651049237254,0,1
165,26.109008091676998,0,0
14,35.16677733647803,0,0
821,89.1889798573014,1,2
1039,87.86717921384238,1,2
950,71.14799984142087,1,2
986,68.06748986531429,1,2
810,59.373204388036974,0,1
1040,86.8762344880305,1,2
362,67.79026780179822,0,1
315,40.71309000225925,0,0
217,33.27556639072508,0,0
790,52.274453144408206,0,1
553,47.64087583685208,0,1
688,64.29088555282613,0,1
1165,74.33706007793407,1,2
1160,70.33304188593624,1,2
638,63.21769849222654,0,1
1073,83.56730916366335,1,2
958,57.97866293240779,1,2
253,41.198225351491224,0,0
126,40.331159685389004,0,0
361,42.17445811615136,0,1
124,31.531709486985374,0,0
388,38.72701522070476,0,1
836,88.80557696544791,1,2
950,61.196865322859864,1,2
1200,71.1513014432829,1,2
143,25.53454971492571,0,0
188,26.11491941042648,0,0
261,12.224297092391616,0,0
125,44.28235716395984,0,0
353,53.322474179233886,0,1
746,50.491246887294366,0,1
846,100.20882427486181,1,2
148,26.133209532890092,0,0
896,76.15575914096864,1,2
628,37.53833630597626,0,1
834,63.29814364493489,0,1
691,64.14029085654529,0,1
254,32.71536506134538,0,0
969,67.55202772865064,1,2
1032,63.67280829679323,1,2
238,32.75578796225491,0,0
1086,91.3645561255432,1,2
0,22.17265477223484,0,0
525,72.99500166277515,0,1
886,72.50466506853496,1,2
567,49.18660240243163,0,1
62,17.38742464485721,0,0
684,52.4296713344888,0,1
287,33.755110910932224,0,0
1200,100.18194882681729,1,2
333,46.80628300742294,0,1
1,44.68503458912459,0,0
33,24.502050395704565,0,0
675,50.81328498986988,0,1
126,29.44373437673932,0,0
285,36.27897823578362,0,0
1053,80.38308095685487,1,2
35,29.535321827411433,0,0
489,42.686958640883894,0,1
281,30.358899729218713,0,0
50,19.767421059462865,0,0
881,69.56301851847844,1,2
242,23.02207067196822,0,0
1137,68.5079494766252,1,2
994,74.35475244847557,1,2
983,61.16838134551171,1,2
654,64.50389460757452,0,1
394,55.51813702055268,0,1
268,22.341444716432214,0,0
1141,62.447862710089794,1,2
920,62.315457839157645,1,2
1136,86.98960350766806,1,2
653,48.64931478495367,0,1
211,32.43892964373511,0,0
32,19.01703528114922,0,0
804,92.30734669083958,1,2
1172,80.10486789259652,1,2
1076,80.62790018845864,1,2
125,27.594770864487373,0,0
227,29.77889043405262,0,0
586,53.790068210814255,0,1
0,47.32625197744155,0,0
712,64.1878236637572,0,1
23,25.133431479686934,0,0
725,52.82888559535533,0,1
177,32.49959264532388,0,0
713,68.31567655579477,0,1
1179,76.46933741399579,1,2
1014,91.5378906935775,1,2
298,42.59340801844309,0,1
1038,89.62919875678926,1,2
742,69.85070248870976,0,1
400,47.44529918418573,0,1
879,85.8932945162318,1,2
303,45.52070404592868,0,0
681,69.29955383524025,0,1
509,61.96495598174698,0,1
929,78.5205484782519,1,2
659,71.38096195017404,0,1
748,45.484530657573224,0,1
472,54.48804088986263,0,1
691,54.90850340147522,0,1
86,33.06356773678461,0,0
943,100.21901742300702,1,2
515,62.803457954386076,0,1
443,51.36601011918443,0,1
150,41.69561099838264,0,0
234,36.48447022237904,0,0
1116,89.26399809526878,1,2
1145,69.90013961553953,1,2
259,17.516763860551713,0,0
770,64.45121903745566,0,1
1053,65.5344898790252,1,2
1069,61.816429847025454,1,2
700,52.408170369351865,0,1
128,31.9310533899144,0,0
966,82.83903907444693,1,2
903,94.43967316766587,1,2
1085,75.14364267613523,1,2
501,61.185670085290454,0,1
786,94.9001105353686,1,2
242,45.07327485529549,0,0
41,26.267473933479437,0,0
614,58.17076894057229,0,1
914,53.40969539345764,1,2
81,22.8002632836466,0,0
180,32.22422704384286,0,0
95,31.398868557826454,0,0
1044,72.694958859976,1,2
271,40.57392348232616,0,0
998,93.64158836331237,1,2
14,33.47438814250252,0,0
511,38.99908790533997,0,1
153,36.78573865840073,0,0
967,81.55105154136504,1,2
374,53.029545635341094,0,1
965,60.13290687277257,1,2
742,76.90983575349493,1,2
695,77.95910207089328,0,1
9,34.33933666140135,0,0
986,92.745276695342,1,2
717,46.939062057002914,0,1
1177,95.94192941653148,1,2
890,65.22826937841182,1,2
675,41.944301941196876,0,1
81,35.0929649617805,0,0
1126,72.17234391243198,1,2
3,22.66584246606775,0,0
853,84.4734981269769,1,2
625,50.180892106641544,0,1
286,42.854867165616085,0,1
181,41.201070975612865,0,0
158,23.54882017588607,0,0
626,58.487288565692204,0,1
920,63.98464257732694,0,1
1010,94.87462420834441,1,2
1157,67.1834704854907,1,2
326,22.395521898344658,0,0
36,22.49595723253781,0,0
618,52.48953758798848,0,1
569,58.93376543357009,0,1
257,40.83440151785907,0,0
1058,59.75815088662966,1,2
832,93.75120006552038,1,2
1132,67.142709373544,1,2
71,40.549541953298814,0,0
468,58.2763438160506,0,1
609,58.00757271848465,0,1
144,37.00000672804727,0,0
658,36.73050332909086,0,1
428,54.078973927561584,0,1
1184,78.15941280477077,1,2
222,30.88114553188957,0,0
0,32.47093473155005,0,0
714,38.51816517217114,0,1
878,78.65612317914743,1,2
1021,70.03298666406404,1,2
96,32.595310641117514,0,0
311,73.06364830639289,0,1
94,18.605977793489476,0,0
671,74.31973222970817,0,1
166,43.01141476376725,0,0
931,104.69661172847155,1,2
360,58.96244533582536,0,1
985,95.66394365750848,1,2
956,64.07398191267345,1,2
21,42.607586067431356,0,0
292,55.619092060931756,0,1
24,35.46294367731938,0,0
1117,77.57083673711035,1,2
77,26.48912218102101,0,0
965,92.55617099646594,1,2
105,22.484585027597014,0,0
330,51.265040818019216,0,1
465,47.04997410752054,0,1
863,65.99668726424939,1,2
548,64.10205079635975,0,1
850,74.63662266250299,1,2
60,36.139813782716345,0,0
86,31.223587598600258,0,0
1162,64.91434089874313,1,2
1116,59.96623538407646,1,2
16,23.949453859665603,0,0
1045,89.18663563164571,1,2
297,42.03024833264496,0,1
214,33.20208572149931,0,0
251,15.556222913891887,0,0
61,38.38314875656128,0,0
902,96.14631771875753,1,2
307,29.449871037044325,0,0
94,26.831081582635967,0,0
508,48.39410731881866,0,1
203,25.19387374862566,0,0
1135,89.50081966051538,1,2
1080,76.19211154451583,1,2
580,57.89343933454215,0,1
1045,57.88493208716915,1,2
864,68.30100675247259,1,2
731,62.228014467380696,0,1
13,38.19679746821967,0,0
369,43.977320960566075,0,1
270,46.12259605970921,0,0
94,38.27391323996966,0,0
356,55.030675746646125,0,1
1104,90.33398642206618,1,2
190,35.492841749002665,0,0
581,44.88473230982851,0,1
303,62.390573398532055,0,1
46,49.12127232885263,0,0
889,83.86766050773318,1,2
257,22.10187130523022,0,0
74,34.84884337698074,0,0
768,58.45264781188167,0,1
747,40.35817285147081,0,1
1108,95.36835941423662,1,2
142,28.272168139630537,0,0
1012,67.53108282556202,1,2
888,60.6947705989593,1,2
1200,60.162092120893035,1,2
1064,99.24509228256375,1,2
894,65.91976782855258,1,2
8,34.27754727794563,0,0
0,27.857475536897685,0,0
1101,86.57750554804679,1,2
675,51.08354576487626,0,1
40,29.755151523974114,0,0
250,33.80805382141344,0,0
498,54.42246279188375,0,1
1115,96.99763222632275,1,2
61,40.00322781374096,0,0
